Name,Address,Description,Phone,2nd Phone,Website
Labourware Inc,"20 Pittaway Ave, Ottawa, ON K1G 4P8",No description,613-730-9292,No second phone number,www.facebook.com%2F146570922376
Ontario Public Service Employees Union,"55 Frid St, Hamilton, ON L8P 4M3",No description,905-527-7784,No second phone number,opseulocal273.org
Canadian Union Of Public Employees,"1700-21 King St W, Hamilton, ON L8P 4W7",No description,905-575-5411,No second phone number,www.cupe.ca
IATSE,"10 MacNab St S, Hamilton, ON L8P 4Y3",No description,905-577-9193,No second phone number,www.iatselocal129.com
LiUNA Local 3000,"44 Hughson St S, Hamilton, ON L8N 2A7",No description,905-525-4314,1-877-282-9644,www.liuna.ca
Labourers International Union,"44 Hughson St S, Hamilton, ON L8N 2A7",No description,905-522-3417,No second phone number,www.liuna.org
Labour Ready Inc,"57 John St S, Hamilton, ON L8N 2B9",No description,905-525-5650,No second phone number,No website
Health Care Office & Pro Employees,"149 Main St E, Hamilton, ON L8N 1G4",No description,905-577-6350,No second phone number,No website
Unifor Local 504,"307 Queenston Rd, Hamilton, ON L8K 1H3",No description,905-545-8770,No second phone number,unifor.org
Sheet Metal Workers,"479 Main St E, Hamilton, ON L8N 1K1",No description,905-528-8737,No second phone number,www.smwlocal537.ca
C U P E 786,"202-795 King St E, Hamilton, ON L8M 1A8",No description,905-524-0459,No second phone number,cupe.ca
Cupe Local 5167,"818 King St E, Hamilton, ON L8M 1B2",No description,905-522-0917,No second phone number,www.cupe5167.org
O P S E U Local 436,"Merrick St, Smiths Falls, ON",No description,613-284-8408,No second phone number,No website
United Steelworkers,"1031 Barton St E, Hamilton, ON L8L 3E3",No description,905-383-1520,No second phone number,usw5328.ca
United Steel Workers Of C,"1031 Barton St E, Hamilton, ON L8L 3E3",No description,905-544-4793,No second phone number,usw5328.ca
United Steelworkers Local 4153,"1031 Barton St E, Hamilton, ON L8L 3E3",No description,905-545-8527,No second phone number,No website
United Steelworkers Local 4752,"1031 Barton St E, Hamilton, ON L8L 3E3",No description,905-549-9688,No second phone number,No website
WUSW Local 16506,"1031 Barton St E, 2nd Floor, Hamilton, ON L8L 3E3",No description,905-549-1650,No second phone number,www.usw16506.ca
Cupe Local 4153,"202-1130 Barton St E, Hamilton, ON L8H 7P9","CUPE Local 5167 is a composite Local which consists of six units Airport DARTS (Disabled & Aged Regional Transportation System) GSWS (Good Shepherd Women's Services) Lodges (Macass...
more...
See more text",905-544-7733,No second phone number,www.cupe5167.org
Teamsters Canada Rail Conference,"109-23 Beckwith St N, Smiths Falls, ON K7A 2B2",No description,613-205-1238,No second phone number,No website
Teamsters Canada Rail Conference,"637 Parkdale Ave N, Hamilton, ON L8H 5Z1",No description,905-545-8296,No second phone number,www.facebook.com%2F196343657662
United Transportation Union,"350 Kenilworth Ave N, Hamilton, ON L8H 4T3",No description,905-549-9913,No second phone number,www.facebook.com%2F118134255254
QP Local 1065,"210-350 Kenilworth Ave N, Hamilton, ON L8H 4T3",No description,289-389-1438,No second phone number,www.facebook.com%2F621140644900
United Steelworkers Local 7135,"350 Kenilworth Ave N, Hamilton, ON L8H 4T3","The United Steelworkers Holds Regular Conferences And There Are Ongoing Meetings On Everything From Human Rights To Health And Safety As Well As Sector Conferences That Bring Toget...
more...
See more text",905-544-3554,No second phone number,www.usw7135.ca
United Steelworkers of America Local 1005,"350 Kenilworth Ave N, Hamilton, ON L8H 4T3",No description,905-547-1417,No second phone number,No website
Ontario Public Service Employees Union,"31 Empress Ave, Hamilton, ON L9A 1M1",No description,905-317-3977,No second phone number,www.facebook.com%2F1691780221110
United Food And Commercial Workers Union,"412 Rennie St, Hamilton, ON L8H 3P5",No description,905-545-8354,No second phone number,www.ufcw.org
United Bottle Workers Union,"1575 Barton St E, Hamilton, ON L8H 2Y3",No description,905-545-9507,No second phone number,www.facebook.com%2F420708304960
Hamilton Wentworth Occasional Teachers,"152 Hester St, Hamilton, ON L9A 2N8",No description,905-547-7221,No second phone number,www.facebook.com%2F469995656524
Canadian Union Of Public Employees,"354 Queenston Rd, Hamilton, ON L8K 1H9",No description,905-388-2425,No second phone number,www.cupe5167.org
1887204 Ontario Inc,"125 Easton Rd, Brantford, ON N3P 1J4",No description,519-753-7404,No second phone number,No website
International Union Of Painters Allied Trades,"1430 Osprey Dr, Ancaster, ON L9G 4V5",No description,905-304-0001,No second phone number,No website
International Union Of Painters Allied Trades Lu1795 & Lu 205,"1430 Osprey Dr, Ancaster, ON L9G 4V5",No description,905-304-8875,No second phone number,www.iupat.org
Keeprite Workers Independent Union,"159 Roy Blvd, Brantford, ON N3R 7K1",No description,519-753-2355,No second phone number,No website
Teamsters Local Union 879,"460 Parkdale Ave N, Hamilton, ON L8E 6A2",No description,905-547-3231,No second phone number,www.teamsters879.ca
Canadian National Federation Of Independent Unions,"526 Winona Rd, Stoney Creek, ON L8E 5E9",No description,905-643-6971,No second phone number,No website
Ontario Secondary School Teachers' Federation Ha milton Wentworth District 21,"1423 Upper Ottawa, Hamilton, ON L8W 3J6",No description,905-574-8285,No second phone number,www.osstf21.posterous.com
Carpenters Union Local 18,"1342 Stone Church Rd E, Hamilton, ON L8W 2C8","The Carpenters' District Council of Ontario is composed of 16 affiliated Local Unions of the United Brotherhood of Carpenters and Joiners across the province. Our Executive Council...
more...
See more text",905-522-0752,No second phone number,www.thecarpentersunion.ca
Hamilton Wentworth Elementary Teachers Local,"105 Nebo Rd, Hamilton, ON L8W 2E1",No description,905-318-2771,No second phone number,No website
Canadian Union Of Public Employees,"260 Nebo Rd, Hamilton, ON L8W 3K5",No description,905-318-9336,No second phone number,www.cupe5167.org
C A W Canada 636,"126 Beale St, Woodstock, ON N4S 6X5",No description,519-537-5942,No second phone number,www.oxford.net%2F%7Elocal
Brantford Police Association,"344 Elgin St, Brantford, ON N3S 7P6",No description,519-756-6621,No second phone number,www.police.brantford.on.ca
United Assn Of Journeymen & Apprentices Plumbing & Pipe Fitting Industry Local 67,"195 Dartnall Rd, Hamilton, ON L8W 3V9","The United Association has been training qualified pipe tradesmen longer than anyone else in the industry. The UA boasts the premier training programs available in the industry tod...
more...
See more text",905-385-0404,No second phone number,www.ualocal67.com
C A W Local 636,"1401 Parkinson Rd, Woodstock, ON N4S 7W3",No description,519-539-1752,No second phone number,No website
Cupe Local 181,"1100 Clarence St S, Brantford, ON N3S 7N8",No description,519-753-2078,No second phone number,No website
Brantford Local 508,"1100 Clarence St S, Brantford, ON N3S 7N8",No description,519-752-1717,No second phone number,No website
Brantford Local 508,"1100 Clarence St S, Brantford, ON N3S 7N8",No description,519-304-0224,No second phone number,No website
Brantford & District Labour Centre Inc,"1100 Clarence St S, Brantford, ON N3S 7N8",No description,519-753-9747,No second phone number,brantfordlabourcouncil.ca
Usw 1-500,"104-1100 Clarence St S, Brantford, ON N3S 7N8",No description,226-400-0318,No second phone number,No website
International Brotherhood Of Electrical WorkersLocal 105,"685 Nebo, Mount Hope, ON L0R 1P0",No description,905-679-0642,No second phone number,ibewcanada.ca
CLAC,"89 South Service Rd, Grimsby, ON L3M 4G3","Formed in 1952, CLAC is one of Canada’s fastest-growing unions. Operating through 15 member centres, it is the country’s largest national, independent, multi-sector union represent...
more...
See more text",905-945-1500,1-800-463-2522,clac.ca
Grand River Valley Health Care Employees Union Local Clac 305,"89 South Service Rd, Grimsby, ON L3M 5K3",No description,905-945-1500,No second phone number,No website
Construction Workers Union Local 6-CLAC,"89 South Service Road, Grimsby, ON L3M 4G3",No description,905-945-1500,No second phone number,No website
Boiler Makers Union Local 680,"340 Lakeshore Rd, St Catharines, ON",No description,905-935-6234,No second phone number,No website
Canadian Union of Postal Workers,"4034 Bath Rd, Kingston, ON K7M 4Y4",No description,613-548-7491,No second phone number,www.facebook.com%2F579697022367
Canadian Union Of Public Employees-Kingston AreaOffice,"615 Norris Crt, Kingston, ON K7P 2R9",No description,613-542-2069,No second phone number,www.cupe.ca
Canadian Union Of Public Employees,"615 Norris Crt, Kingston, ON K7P 2R9",No description,613-389-7929,No second phone number,No website
UNIFOR Local 31,"811 Blackburn Mews Level Lower, Kingston, ON K7P 2N6","Unifor strives to protect the economic rights of our members and every member of the workforce (employed or unemployed). We are committed to building the strongest and most effecti...
more...
See more text",613-542-7368,No second phone number,unifor31.ca
ETFO Limestone,"739 Arlington Park Pl, Kingston, ON K7M 8M8","There are various travel companies such as Breakaway Tours and S Trips that are soliciting area teenagers to participate in their ski trips, and destination trips such as Cuba and ...
more...
See more text",613-634-8163,No second phone number,etfolimestone.on.ca
Kingston Independent Nylon Workers Union,"745 Gardiners Rd, Kingston, ON K7M 3Y5",No description,613-389-5255,No second phone number,kinwu.ca
Unifor,"25 Corporate Park Dr, St Catharines, ON L2S 3W2",No description,905-687-1841,1-800-663-9983,www.caw199.com
Painters & Allied Trades,"1724 Bath Rd, Kingston, ON K7M 4Y2","Were happy that you have come to learn more information about opportunities in regards to apprenticeships and how to keep in touch with your local . Our painters union supports a v...
more...
See more text",613-384-4810,No second phone number,www.iupat.on.ca
Sheet Metal Workers Local 269,"1724 Bath Rd, Kingston, ON K7M 4Y2",No description,613-384-2269,No second phone number,No website
International Brotherhood Of Electrical Workers Local 115,"40 Binnington Crt, Kingston, ON K7M 8S3",No description,613-547-4115,No second phone number,www.ibew115.on.ca
Canadian Union Of Public Employees Niagara Area Ofc,"101 A Hannover, ON L2W 1A4",No description,905-641-3051,No second phone number,No website
Canadian Union Of Public Employees,"101 A Hannover, St Catharines, ON L2W 1A4",No description,905-641-3051,No second phone number,www.web.net%2F%7Ecupeont%2Font-div.
United Steelworkers Of America,"17 Argyle St N, Haldimand, ON N3W 1B6",No description,905-765-0084,No second phone number,No website
LIUNA Local 837,"267 Carlton St, St Catharines, ON L2N 1B7",No description,905-227-1836,No second phone number,No website
Brick & Allied Craft,"35 Terry Fox Dr, Kingston, ON K7M 8N4","The Brick and Allied Craft Union of Canada (BACU). The BACU is an independent Canadian construction union founded in 1998. The founding members were tradespeople who wanted autonom...
more...
See more text",613-530-2999,No second phone number,bacu.ca
Plumbers Steamfitters And Welders Local 401 U A,"25 Terry Fox Dr, Kingston, ON K7M 8N4",No description,613-547-1153,No second phone number,No website
Public Service Alliance of Canada,"1471 John Counter Blvd, Kingston, ON K7M 8S8",No description,613-542-7322,No second phone number,psac.com
International Assoc Of Bridge Structural & Ornamental Iron Workers,"7771 Snake Island Greely Na, Metcalfe, ON K0A 2P0",No description,613-821-7813,No second phone number,ironworkers765.com
Labourers's International Union of North America,"1-45 Dalton Ave, Kingston, ON K7K 6C2",No description,613-542-5950,No second phone number,www.facebook.com%2F361675504641
International Union Of Operating Engineers,"188 Bunting, Sh Cath, ON L2M 3Y1",No description,905-227-3046,No second phone number,www.iuoelocal793.org
Canadian Merchant Service Guild,"445 Eastchester Ave E, St Catharines, ON L2M 6S2",No description,905-685-4224,No second phone number,No website
St Catharines Fire Fighters Assoc,"64 Geneva St, St Catharines, ON L2R 4M7",No description,905-685-9830,No second phone number,No website
Canadian Union Of Public Employees,"154 King St, St Catharines, ON L2R 3J4",No description,905-684-6446,No second phone number,www.cupe.ca
Canadian Auto Workers Local 199,"124 Bunting Rd, St Catharines, ON L2P 3G5","The Government claims Canadas economy is the best in the World, but that isnt supported by the hard evidence. Austerity has hurt the underlying problem, not helped.To solve the pro...
more...
See more text",905-682-2231,No second phone number,www.caw199.com
Canadian Auto Workers Local 199 CAW,"124 Bunting Rd, St Catharines, ON L2P 3G5",No description,905-682-6010,No second phone number,www.facebook.com%2F115830495153
Opseu,"824 John Counter Blvd, Kingston, ON K7K 2R1",No description,613-549-1146,No second phone number,No website
Ontario Public Service Employees Union,"824 John Counter Blvd, Kingston, ON K7K 2R1",No description,613-549-3196,No second phone number,No website
OPSEU-Ontario Public Service Employees Union,"920 Princess St, Kingston, ON K7L 1H1",No description,613-544-8869,No second phone number,www.facebook.com%2F228526147731
Injured Workers Support Network Kingston,"797 Princess St, Kingston, ON K7L 1G1",No description,613-542-1074,No second phone number,No website
London Fire Fighters Assoc Loc 142,"1192 Highbury Ave N, London, ON N5Y 1A7",No description,519-451-9014,No second phone number,www.facebook.com%2F539640319547
Carpenters Union Local 18,"360 York Rd, Niagara On The Lake, ON L0S 1J0",No description,905-641-1877,No second phone number,No website
Cupe Local 4186,"14-540 Clarke Rd, London, ON N5V 2C7",No description,519-679-4186,No second phone number,www.facebook.com%2F255216308380
United Brotherhood Of Carpenters & Joiners Union Local 249,"481 Discovery Ave, Kingston, ON K7K 7E8","In 1884, delegates to the United Brotherhood of Carpenters' Fourth General Convention adopted this emblem to serve as a symbol of the union's ideals. After a century and a quarter,...
more...
See more text",613-384-3316,No second phone number,local249.ca
Unifor Local 27,"606 First St, London, ON N5V 2A2",No description,519-455-3430,No second phone number,unifor.org
O P S E U Strike Headquarters Local 110,"606 First St, London, ON N5V 2A2",No description,519-451-6361,No second phone number,www.facebook.com%2F203426666714
Ontario Nurses' Association,"306-4 Cataraqui St, Kingston, ON K7K 1Z7","Linda Haslam-Stroud, RN, President of the Ontario Nurses' Association (ONA), released a statement on the appointment of Michael Balagus as chief of staff to Ontario New Democratic ...
more...
See more text",613-545-1110,No second phone number,ona.org
Teamsters' Union Local 879,"1790 Dundas St, London, ON N5W 3E5",No description,519-455-2981,No second phone number,No website
International Union of Operating Engineers,"523 First St, London, ON N5V 1Z4",No description,519-451-7430,No second phone number,www.iuoelocal793.org
International Union of Operating Engineers,"523 First St, London, ON N5V 1Z4",No description,519-451-7265,No second phone number,www.iuoelocal793.org
International Brotherhood Of Electrical Workers,"523 First St, London, ON N5V 1Z4",No description,519-451-0654,No second phone number,www.ibew.org
C A W Canada Local 4401,"20 Walnut St, St Catharines, ON L2T 1H5",No description,905-227-7717,No second phone number,www.caw4401.ca
Public Service Alliance Of Canada,"480 Sovereign Rd, London, ON N6M 1A4",No description,519-659-1124,No second phone number,www.psac.com%2Fonta
Smith Peggy E,"160 Johnson St, Kingston, ON K7L 1Y1",No description,613-548-4601,No second phone number,www.facebook.com%2F254932995248
Cupe 1974,"76 Stuart St, Kingston, ON K7L 2V7",No description,613-548-6011,No second phone number,Www.cupe1974.ca
United Steel Workers,"328 King St E, Kingston, ON",No description,613-547-1177,No second phone number,usw.ca
Canadian Union Of Postal Workers,"344 Sovereign Rd, London, ON N6M 1A8",No description,519-659-0436,No second phone number,www.cupw-sttp.org
Cupe 1287,"133 Front St N, Thorold, ON L2V 0A3",No description,905-685-0001,No second phone number,www.cupe1287.com
London Fire Fighters Assoc Loc 142,"1101 Florence St, London, ON N5W 2M7",No description,519-451-2003,No second phone number,www.iafflocals.com
Amalgamated Transit Union Local 741,"450 Highbury Ave N, London, ON N5W 5L2",No description,519-438-6771,No second phone number,www.atu741.ca
London And District Labour Council,"6-380 Adelaide St N, London, ON N6B 3P6",No description,519-432-3188,No second phone number,londonlabour.ca
BCTGM Local 242,"11-380 Adelaide St N, London, ON N6B 3P6",No description,519-434-3006,No second phone number,www.bctgm154.ca
Bakery Confectionary Tobacco & Grain Millers Local 154 G,"380 Adelaide St N, London, ON N6B 3P6",No description,519-432-2153,No second phone number,www.bctgm154.ca
Cupe 7575,"1093 Brydges St, London, ON N5W 2B5",No description,519-601-7570,No second phone number,www.facebook.com%2F1545899362335
Canadian Marine Officers Union,"17 Front St N, Thorold, ON L2V 1X3",No description,905-227-6285,No second phone number,No website
Canadian Marine Officers Union Local 9538 USW,"30 Albert St E, Thorold, ON L2V 1P1",No description,905-227-6226,No second phone number,No website
Unifor - Local 302,"125 Elm St, London, ON N5Z 2K4",No description,519-951-0302,1-866-881-9781,unifor.org
Niagara Regional Labour Council,"1 Ormond St S, Thorold, ON L2V 1X9",No description,289-362-2233,No second phone number,No website
Canadian Union of Postal Workers,"1 Ormond St S, Thorold, ON L2V 1X9",No description,905-680-0614,No second phone number,No website
Police Association,"330 William St, London, ON N6B 3C7",No description,519-673-5737,No second phone number,No website
Police Association,"330 William St, London, ON N6B 3C7",No description,519-660-6018,No second phone number,No website
Unifor Local 27,"31 Firestone Bl, London, ON N5W 6E6",No description,519-455-8169,No second phone number,No website
Canadian Union Of Public Employees London Area Ofc,"101-350 Oxford St W, London, ON N6H 1T3",No description,519-433-4279,No second phone number,www.cupe.ca
Unifor Local 46,"10-89 Wharncliffe Rd N, London, ON N6H 2A7",No description,519-434-0938,No second phone number,ceplocal46.on.ca
Service Employees International Union,"83-41 Adelaide St N, London, ON N6B 3P4",No description,519-432-2661,1-800-265-1549,No website
Service Employees International UnionLocal1 ONHead Office,"Toll Free, ON N6B 3P4",No description,1-800-267-7348,No second phone number,www.seiulocal1.org
Sheet Metal Workers Local 473,"184 Wellington St, London, ON N6B 2L1","The Sheet Metal Workers' International Association, represents 150,000 skilled craft persons throughout the United States, Canada, and Puerto Rico. Sheet Metal Workers perform arch...
more...
See more text",519-439-7731,No second phone number,smwia473.ca
Sheet Metal Workers Local 473,"184 Wellington St, London, ON N6B 2L1",No description,519-439-0786,No second phone number,No website
Canadian Union Of Postal Worke,"3-920 Leathorne St, London, ON N5Z 3M5",No description,519-672-4417,No second phone number,www.facebook.com%2F1789576494684
Communications Energy & Paperworkers Union,"3855 St Peter Ave, Niagara Falls, ON L2J 2N7",No description,905-374-8354,No second phone number,No website
Cupe 4222,"1-571 Wharncliffe Rd S, London, ON N6J 2N6",No description,519-453-4222,No second phone number,No website
ETFO Thames Valley Occasional Teachers,"521 Nottinghill Rd, London, ON N6K 4L4",No description,519-641-3936,No second phone number,www.etfotvots.com
London Fire Fighters Assoc Local 142,"746 Wellington Rd, London, ON N6C 4R2",No description,519-681-1639,No second phone number,www.iafflocals.com
